VENERA-16 KS-18-6V Ep1-5-10-65>30,a ID=VG D=UT S=14400
UT            p>30+      p>60+     p1-65+     p1-11+      p5-8+     a7-24+     p1-70-      p1-9-     p5-10-     a7-22-    xHGI,km    yHGI,km    zHGI,km
83060819  1.679E+01  1.687E+01  2.355E+00  3.141E-01  1.213E-01  2.004E-02  3.334E+00  2.523E-01  1.726E-01  1.002E-02  1.507E+08  6.457E+06 -5.894E+05
83060907  1.675E+01  1.679E+01  2.393E+00  3.141E-01  1.213E-01  2.004E-02  3.365E+00  3.034E-01  2.223E-01  2.004E-02  1.506E+08  7.408E+06 -6.453E+05
83060911  1.679E+01  1.683E+01  2.355E+00  3.034E-01  9.120E-02  2.004E-02  3.266E+00  2.938E-01  1.824E-01  2.004E-02  1.506E+08  7.725E+06 -6.639E+05
83060919  1.675E+01  1.675E+01  2.559E+00 -9.999E+99  1.161E-01  2.506E-02  3.273E+00  3.540E-01  1.972E-01  2.004E-02  1.505E+08  8.361E+06 -7.012E+05
83060923  1.641E+01  1.648E+01  3.396E+00  1.072E+00  1.112E-01  3.006E-02  3.475E+00  6.982E-01  1.726E-01  2.004E-02  1.505E+08  8.679E+06 -7.198E+05
83061003  1.637E+01  1.629E+01  3.972E+00  1.507E+00  1.112E-01  3.006E-02  3.516E+00 -9.999E+99  2.023E-01  3.006E-02  1.505E+08  8.997E+06 -7.385E+05
83061011  1.633E+01  1.641E+01  4.603E+00  1.914E+00  1.312E-01  3.508E-02  3.436E+00  6.531E-01  2.023E-01  2.506E-02  1.504E+08  9.635E+06 -7.758E+05
83061015  1.618E+01  1.629E+01  4.808E+00  2.265E+00  1.312E-01  5.012E-02  3.656E+00  9.616E-01  2.123E-01  3.006E-02  1.503E+08  9.954E+06 -7.945E+05
83061019  1.622E+01  1.614E+01  3.981E+00  1.687E+00  1.112E-01  3.006E-02  4.027E+00  1.365E+00  2.123E-01  3.006E-02  1.503E+08  1.027E+07 -8.132E+05
83061023  1.622E+01  1.618E+01  3.412E+00  1.233E+00  1.112E-01  3.006E-02  3.936E+00  1.355E+00  2.023E-01  3.006E-02  1.503E+08  1.059E+07 -8.319E+05
83061103  1.622E+01 -9.999E+99  3.707E+00  1.403E+00  1.312E-01  3.006E-02  3.811E+00  1.081E+00  2.123E-01  2.004E-02  1.502E+08  1.091E+07 -8.506E+05
83061107  1.618E+01 -9.999E+99  3.656E+00  1.303E+00  1.312E-01  3.006E-02  3.767E+00  1.000E+00  2.323E-01  2.004E-02  1.502E+08  1.123E+07 -8.693E+05
83061111  1.614E+01  1.618E+01  4.111E+00  1.726E+00  1.514E-01  3.006E-02  3.999E+00  1.294E+00  2.123E-01  2.004E-02  1.501E+08  1.155E+07 -8.880E+05
83061115  1.618E+01  1.618E+01  4.477E+00  2.051E+00  1.514E-01  4.009E-02  4.102E+00  1.355E+00  2.223E-01  3.006E-02  1.501E+08  1.187E+07 -9.067E+05
83061119  1.622E+01  1.622E+01  4.764E+00  2.275E+00  1.312E-01  3.006E-02  4.130E+00  1.524E+00  2.223E-01  3.006E-02  1.500E+08  1.219E+07 -9.254E+05
83061123  1.626E+01  1.629E+01  4.786E+00  2.244E+00  1.312E-01  3.006E-02  4.295E+00  1.726E+00  2.223E-01  2.004E-02  1.500E+08  1.251E+07 -9.441E+05
83061203  1.622E+01 -9.999E+99  4.864E+00  2.143E+00  1.213E-01  3.006E-02  4.140E+00  1.596E+00  2.123E-01  2.004E-02  1.499E+08  1.284E+07 -9.628E+05
83061207  1.626E+01  1.633E+01  4.571E+00  1.928E+00  1.112E-01  2.004E-02  3.990E+00  1.393E+00  2.023E-01  2.004E-02  1.499E+08  1.316E+07 -9.816E+05
83061211  1.629E+01  1.629E+01  4.529E+00  1.849E+00  1.012E-01  2.004E-02  3.873E+00  1.294E+00  2.123E-01  2.004E-02  1.498E+08  1.348E+07 -1.000E+06
83061215  1.633E+01  1.641E+01  5.984E+00  2.825E+00  1.112E-01  2.004E-02  3.707E+00  1.062E+00  1.824E-01  3.006E-02  1.498E+08  1.380E+07 -1.019E+06
83061219  1.633E+01  1.641E+01  7.194E+00  3.516E+00  1.112E-01  3.006E-02  3.750E+00  1.112E+00  1.626E-01  2.004E-02  1.497E+08  1.412E+07 -1.038E+06
83061223  1.629E+01  1.637E+01  5.176E+00  2.203E+00  1.012E-01  2.004E-02  3.690E+00  1.040E+00  1.923E-01  1.002E-02  1.496E+08  1.445E+07 -1.057E+06
83061303  1.633E+01  1.641E+01  4.345E+00  1.656E+00  1.012E-01  3.006E-02  3.741E+00  1.072E+00  1.923E-01  2.004E-02  1.496E+08  1.477E+07 -1.075E+06
83061307  1.629E+01  1.629E+01  1.143E+01  6.180E+00  1.213E-01  3.006E-02  4.920E+00  2.938E+00  2.123E-01  2.004E-02  1.495E+08  1.509E+07 -1.094E+06
83061311  1.603E+01  1.607E+01  2.523E+00  5.260E-01  1.012E-01  2.004E-02  3.170E+00  3.034E-01  1.824E-01  2.004E-02  1.495E+08  1.542E+07 -1.113E+06
83061319  1.574E+01  1.578E+01  2.223E+00  2.377E-01  9.120E-02  2.004E-02  3.013E+00  2.075E-01  1.726E-01  1.503E-02  1.493E+08  1.606E+07 -1.150E+06
83061323  1.581E+01  1.578E+01  2.265E+00  2.523E-01  1.012E-01  2.004E-02  2.999E+00  2.023E-01  1.923E-01  1.002E-02  1.493E+08  1.639E+07 -1.169E+06
83061403  1.589E+01  1.592E+01  2.234E+00  2.735E-01  9.120E-02  2.004E-02  3.048E+00  2.223E-01  1.824E-01  1.002E-02  1.492E+08  1.671E+07 -1.188E+06
83061407  1.603E+01  1.603E+01  2.244E+00  2.427E-01  1.012E-01  2.004E-02  3.119E+00  2.427E-01  1.923E-01  1.002E-02  1.491E+08  1.703E+07 -1.207E+06
83061411  1.614E+01  1.618E+01  2.312E+00  2.636E-01  1.012E-01  1.002E-02  3.162E+00  2.636E-01  1.726E-01  1.002E-02  1.491E+08  1.736E+07 -1.226E+06
83061415  1.622E+01  1.622E+01  2.333E+00  3.141E-01  8.110E-02  2.004E-02  3.184E+00  2.636E-01  1.726E-01  2.004E-02  1.490E+08  1.768E+07 -1.244E+06
83061419  1.633E+01  1.633E+01  2.344E+00  2.938E-01  1.012E-01  2.004E-02  3.155E+00  2.523E-01  1.816E-01  1.002E-02  1.489E+08  1.801E+07 -1.263E+06
83061423  1.675E+01  1.656E+01  3.273E+00  9.506E-01  2.427E-01  2.004E-02  3.556E+00  3.334E-01  2.523E-01  1.002E-02  1.489E+08  1.833E+07 -1.282E+06
83061503  1.803E+01 -9.999E+99  6.095E+00  2.685E+00  2.938E-01  3.006E-02  4.875E+00  9.817E-01  6.180E-01  2.004E-02  1.488E+08  1.866E+07 -1.301E+06
83061507  1.845E+01  1.730E+01  6.427E+00  2.432E+00  4.764E-01  3.006E-02  5.902E+00  1.778E+00  9.419E-01  3.006E-02  1.487E+08  1.898E+07 -1.320E+06
83061511  2.655E+01  2.014E+01  5.834E+01  4.592E+01  9.247E+00  2.523E-01 -9.999E+99  3.443E+00  1.991E+00  6.109E-02  1.486E+08  1.931E+07 -1.338E+06
83061519  3.802E+01  2.415E+01  1.164E+01  8.551E+01  6.902E+00  5.929E-01 -9.999E+99  1.358E+01  4.977E+01  1.774E-01  1.485E+08  1.997E+07 -1.376E+06
83061523  4.046E+01  2.312E+01  7.870E+01  4.831E+01  6.871E+00  5.970E-01 -9.999E+99  2.270E+01  1.892E+01  2.735E-01  1.484E+08  2.030E+07 -1.395E+06
83061603  3.673E+01  2.138E+01  6.237E+01  3.673E+01  6.383E+00  5.358E-01 -9.999E+99  2.564E+01  1.086E+01  3.846E-01  1.483E+08  2.063E+07 -1.414E+06
83061607  3.243E+01  2.000E+01  5.152E+01  3.428E+01  1.377E+01  4.764E-01 -9.999E+99  2.535E+01  1.104E+01  3.846E-01  1.482E+08  2.097E+07 -1.433E+06
83061611  2.891E+01  1.905E+01  4.932E+01  3.020E+01  5.572E+00  4.345E-01 -9.999E+99  2.410E+01  1.268E+01  3.846E-01  1.482E+08  2.130E+07 -1.453E+06
83061615  2.612E+01  1.832E+01  3.784E+01  2.291E+01  4.887E+00  3.334E-01 -9.999E+99  2.178E+01  8.892E+00  3.540E-01  1.481E+08  2.163E+07 -1.472E+06
83061619  2.443E+01  1.786E+01  3.443E+01  2.153E+01  4.721E+00  3.236E-01 -9.999E+99  2.234E+01  1.791E+01  3.648E-01  1.480E+08  2.197E+07 -1.491E+06
